runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
96.4506,6161,6161,4429,4429,0,-1,96.4506,0,0,1065749,1798149,195744,20300,0.0974795,LNS(PP;PP),instances/scen-random/random-32-32-20-random-1.scen
76.923,0,-1,4466,4466,0,-1,76.923,0,0,884297,1568754,138316,17854,0.104519,LNS(PP;PP),instances/scen-random/random-32-32-20-random-2.scen
11.6058,0,-1,4300,4300,0,-1,11.6058,0,0,207797,453084,1220,7147,0.0981304,LNS(PP;PP),instances/scen-random/random-32-32-20-random-3.scen
71.7859,0,-1,4353,4353,0,-1,71.7859,0,0,666368,1330985,53868,17291,0.102381,LNS(PP;PP),instances/scen-random/random-32-32-20-random-4.scen
6.73506,0,-1,4588,4588,0,-1,6.73506,0,0,156947,335464,2969,5239,0.0990828,LNS(PP;PP),instances/scen-random/random-32-32-20-random-5.scen
69.9879,0,-1,4441,4441,0,-1,69.9879,0,0,886888,1611161,126149,18276,0.103871,LNS(PP;PP),instances/scen-random/random-32-32-20-random-6.scen
90.358,5996,5996,4287,4287,0,-1,90.358,0,0,978463,1702094,179347,20300,0.0950456,LNS(PP;PP),instances/scen-random/random-32-32-20-random-7.scen
16.2995,0,-1,4489,4489,0,-1,16.2995,0,0,262560,565266,10216,8373,0.102488,LNS(PP;PP),instances/scen-random/random-32-32-20-random-8.scen
49.825,0,-1,4431,4431,0,-1,49.825,0,0,537587,1051934,50349,13266,0.0969779,LNS(PP;PP),instances/scen-random/random-32-32-20-random-9.scen
86.6694,5973,5973,4255,4255,0,-1,86.6694,0,0,981537,1707589,161248,20300,0.11449,LNS(PP;PP),instances/scen-random/random-32-32-20-random-10.scen
38.3492,0,-1,4368,4368,0,-1,38.3492,0,0,464476,936232,36302,12576,0.0994877,LNS(PP;PP),instances/scen-random/random-32-32-20-random-11.scen
40.3857,0,-1,4574,4574,0,-1,40.3857,0,0,570269,1072707,63236,12835,0.0988377,LNS(PP;PP),instances/scen-random/random-32-32-20-random-12.scen
2.04624,0,-1,4439,4439,0,-1,2.04624,0,0,46150,98498,44,1854,0.0975294,LNS(PP;PP),instances/scen-random/random-32-32-20-random-13.scen
46.6988,0,-1,4505,4505,0,-1,46.6988,0,0,600277,1219688,38736,15498,0.106607,LNS(PP;PP),instances/scen-random/random-32-32-20-random-14.scen
86.9857,6356,6356,4489,4489,0,-1,86.9857,0,0,1084817,1951411,153019,20300,0.102029,LNS(PP;PP),instances/scen-random/random-32-32-20-random-15.scen
66.6527,0,-1,4445,4445,0,-1,66.6527,0,0,851330,1541246,109945,17763,0.1029,LNS(PP;PP),instances/scen-random/random-32-32-20-random-16.scen
88.5745,0,-1,4510,4510,0,-1,88.5745,0,0,964113,1600366,171927,17492,0.100297,LNS(PP;PP),instances/scen-random/random-32-32-20-random-17.scen
102.713,6203,6203,4505,4505,0,-1,102.713,0,0,949363,1751411,125131,20300,0.0966518,LNS(PP;PP),instances/scen-random/random-32-32-20-random-18.scen
92.0776,6169,6169,4537,4537,0,-1,92.0776,0,0,1008017,1779184,157346,20300,0.106046,LNS(PP;PP),instances/scen-random/random-32-32-20-random-19.scen
82.2674,0,-1,4490,4490,0,-1,82.2674,0,0,1096733,1834804,209451,19881,0.0988525,LNS(PP;PP),instances/scen-random/random-32-32-20-random-20.scen
3.67511,0,-1,4404,4404,0,-1,3.67511,0,0,93835,205782,513,3713,0.0961071,LNS(PP;PP),instances/scen-random/random-32-32-20-random-21.scen
76.7767,0,-1,4505,4505,0,-1,76.7767,0,0,867448,1567616,128515,17983,0.103859,LNS(PP;PP),instances/scen-random/random-32-32-20-random-22.scen
4.53656,0,-1,4436,4436,0,-1,4.53656,0,0,101967,220189,532,3703,0.0999368,LNS(PP;PP),instances/scen-random/random-32-32-20-random-23.scen
100.992,6085,6085,4324,4324,0,-1,100.992,0,0,931365,1714245,132310,20300,0.101158,LNS(PP;PP),instances/scen-random/random-32-32-20-random-24.scen
12.0859,0,-1,4540,4540,0,-1,12.0859,0,0,244943,449875,21370,6394,0.10022,LNS(PP;PP),instances/scen-random/random-32-32-20-random-25.scen
