runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
1.20151,4098,4098,2933,2933,0,-1,1.20151,0,0,303478,632907,24358,8000,0.0667128,LNS(PP;PP),instances/scen-random/random-32-32-20-random-1.scen
1.07257,3776,3776,2748,2748,0,-1,1.07257,0,0,271878,566406,26282,8000,0.0623145,LNS(PP;PP),instances/scen-random/random-32-32-20-random-2.scen
1.23513,3630,3630,2643,2643,0,-1,1.23513,0,0,293811,587668,27401,8000,0.0756639,LNS(PP;PP),instances/scen-random/random-32-32-20-random-3.scen
1.12154,3992,3992,2689,2689,0,-1,1.12154,0,0,288111,600606,29125,8000,0.070054,LNS(PP;PP),instances/scen-random/random-32-32-20-random-4.scen
1.1731,3898,3898,2924,2924,0,-1,1.1731,0,0,300685,621436,28244,8000,0.065195,LNS(PP;PP),instances/scen-random/random-32-32-20-random-5.scen
1.37347,3865,3865,2746,2746,0,-1,1.37347,0,0,371173,647943,75461,8000,0.0621998,LNS(PP;PP),instances/scen-random/random-32-32-20-random-6.scen
0.286432,0,-1,2746,2746,0,-1,0.286432,0,0,75188,169917,1338,2753,0.0659731,LNS(PP;PP),instances/scen-random/random-32-32-20-random-7.scen
1.40858,3731,3731,2775,2775,0,-1,1.40858,0,0,334152,622661,55078,8000,0.0737506,LNS(PP;PP),instances/scen-random/random-32-32-20-random-8.scen
1.27864,4052,4052,2838,2838,0,-1,1.27864,0,0,307339,649524,21163,8000,0.0622818,LNS(PP;PP),instances/scen-random/random-32-32-20-random-9.scen
1.06202,3691,3691,2577,2577,0,-1,1.06202,0,0,252228,532235,19797,8000,0.0681846,LNS(PP;PP),instances/scen-random/random-32-32-20-random-10.scen
1.30947,3877,3877,2770,2770,0,-1,1.30947,0,0,337424,615724,59018,8000,0.0662866,LNS(PP;PP),instances/scen-random/random-32-32-20-random-11.scen
1.43246,0,-1,2893,2893,0,-1,1.43246,0,0,343045,647378,48957,7805,0.0735571,LNS(PP;PP),instances/scen-random/random-32-32-20-random-12.scen
1.22276,3874,3874,2861,2861,0,-1,1.22276,0,0,299715,614118,29831,8000,0.0687196,LNS(PP;PP),instances/scen-random/random-32-32-20-random-13.scen
1.29495,3773,3773,2817,2817,0,-1,1.29495,0,0,282285,576655,28491,8000,0.0615592,LNS(PP;PP),instances/scen-random/random-32-32-20-random-14.scen
1.29288,3797,3797,2734,2734,0,-1,1.29288,0,0,298685,589932,27829,8000,0.0670046,LNS(PP;PP),instances/scen-random/random-32-32-20-random-15.scen
0.708569,0,-1,2586,2586,0,-1,0.708569,0,0,177697,373090,13183,5789,0.060248,LNS(PP;PP),instances/scen-random/random-32-32-20-random-16.scen
1.14513,3952,3952,2663,2663,0,-1,1.14513,0,0,302694,600518,29587,8000,0.0628445,LNS(PP;PP),instances/scen-random/random-32-32-20-random-17.scen
1.07821,3845,3845,2711,2711,0,-1,1.07821,0,0,261269,555686,16653,8000,0.0642346,LNS(PP;PP),instances/scen-random/random-32-32-20-random-18.scen
1.32006,4058,4058,2853,2853,0,-1,1.32006,0,0,316301,634764,36173,8000,0.0653569,LNS(PP;PP),instances/scen-random/random-32-32-20-random-19.scen
1.19146,3903,3903,2822,2822,0,-1,1.19146,0,0,308093,619390,35993,8000,0.0638485,LNS(PP;PP),instances/scen-random/random-32-32-20-random-20.scen
0.845761,0,-1,2760,2760,0,-1,0.845761,0,0,219157,467383,13133,6544,0.0643196,LNS(PP;PP),instances/scen-random/random-32-32-20-random-21.scen
1.33508,3995,3995,2766,2766,0,-1,1.33508,0,0,353869,641205,65077,8000,0.0630926,LNS(PP;PP),instances/scen-random/random-32-32-20-random-22.scen
1.41038,4150,4150,2875,2875,0,-1,1.41038,0,0,374783,690978,62960,8000,0.0638538,LNS(PP;PP),instances/scen-random/random-32-32-20-random-23.scen
1.0783,3817,3817,2571,2571,0,-1,1.0783,0,0,280264,553850,42628,8000,0.0654537,LNS(PP;PP),instances/scen-random/random-32-32-20-random-24.scen
0.994865,0,-1,2818,2818,0,-1,0.994865,0,0,266276,510605,42648,7175,0.0655033,LNS(PP;PP),instances/scen-random/random-32-32-20-random-25.scen
