runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
5.14544,7260,7260,4429,4429,0,-1,5.14544,0,0,1283170,2056563,284569,20300,0.0962217,LNS(PP;PP),instances/scen-random/random-32-32-20-random-1.scen
2.9152,0,-1,4466,4466,0,-1,2.9152,0,0,754289,1377303,123073,15310,0.108333,LNS(PP;PP),instances/scen-random/random-32-32-20-random-2.scen
2.62908,0,-1,4300,4300,0,-1,2.62908,0,0,690635,1306660,88288,14466,0.101812,LNS(PP;PP),instances/scen-random/random-32-32-20-random-3.scen
5.02841,7434,7434,4353,4353,0,-1,5.02841,0,0,1329952,2181039,282925,20300,0.10117,LNS(PP;PP),instances/scen-random/random-32-32-20-random-4.scen
3.43244,0,-1,4588,4588,0,-1,3.43244,0,0,854703,1410431,179864,13476,0.160107,LNS(PP;PP),instances/scen-random/random-32-32-20-random-5.scen
5.56036,0,-1,4441,4441,0,-1,5.56036,0,0,1484342,2279448,364860,19764,0.105987,LNS(PP;PP),instances/scen-random/random-32-32-20-random-6.scen
0.753807,0,-1,4287,4287,0,-1,0.753807,0,0,203756,445137,12294,6445,0.102537,LNS(PP;PP),instances/scen-random/random-32-32-20-random-7.scen
4.22834,7215,7215,4489,4489,0,-1,4.22834,0,0,1088589,1930962,176011,20300,0.0999611,LNS(PP;PP),instances/scen-random/random-32-32-20-random-8.scen
3.59056,0,-1,4431,4431,0,-1,3.59056,0,0,951234,1630508,186261,17028,0.100947,LNS(PP;PP),instances/scen-random/random-32-32-20-random-9.scen
3.00226,0,-1,4255,4255,0,-1,3.00226,0,0,813274,1450525,149408,15915,0.101283,LNS(PP;PP),instances/scen-random/random-32-32-20-random-10.scen
4.1347,7111,7111,4368,4368,0,-1,4.1347,0,0,1123141,1915940,183303,20300,0.101707,LNS(PP;PP),instances/scen-random/random-32-32-20-random-11.scen
5.18523,0,-1,4574,4574,0,-1,5.18523,0,0,1470236,2193992,370881,18417,0.0987057,LNS(PP;PP),instances/scen-random/random-32-32-20-random-12.scen
4.26335,0,-1,4439,4439,0,-1,4.26335,0,0,1127772,1946384,195191,19123,0.10026,LNS(PP;PP),instances/scen-random/random-32-32-20-random-13.scen
2.7033,0,-1,4505,4505,0,-1,2.7033,0,0,677712,1299326,89673,14770,0.103638,LNS(PP;PP),instances/scen-random/random-32-32-20-random-14.scen
4.87544,0,-1,4489,4489,0,-1,4.87544,0,0,1331287,2061098,306896,19818,0.153961,LNS(PP;PP),instances/scen-random/random-32-32-20-random-15.scen
3.92067,0,-1,4445,4445,0,-1,3.92067,0,0,1043960,1744938,193582,17066,0.118681,LNS(PP;PP),instances/scen-random/random-32-32-20-random-16.scen
0.763876,0,-1,4510,4510,0,-1,0.763876,0,0,200457,387094,23690,5448,0.107283,LNS(PP;PP),instances/scen-random/random-32-32-20-random-17.scen
4.34299,0,-1,4505,4505,0,-1,4.34299,0,0,1143850,2007391,176566,20252,0.105273,LNS(PP;PP),instances/scen-random/random-32-32-20-random-18.scen
4.13643,0,-1,4537,4537,0,-1,4.13643,0,0,1095118,1869533,206946,18905,0.104209,LNS(PP;PP),instances/scen-random/random-32-32-20-random-19.scen
4.83056,7194,7194,4490,4490,0,-1,4.83056,0,0,1271674,2106235,263341,20300,0.101774,LNS(PP;PP),instances/scen-random/random-32-32-20-random-20.scen
3.79529,6554,6554,4404,4404,0,-1,3.79529,0,0,967035,1758875,149040,20300,0.107774,LNS(PP;PP),instances/scen-random/random-32-32-20-random-21.scen
2.2879,0,-1,4505,4505,0,-1,2.2879,0,0,603636,1120813,95585,13206,0.102988,LNS(PP;PP),instances/scen-random/random-32-32-20-random-22.scen
2.82125,0,-1,4436,4436,0,-1,2.82125,0,0,658704,1193455,108093,13058,0.112158,LNS(PP;PP),instances/scen-random/random-32-32-20-random-23.scen
5.17707,7649,7649,4324,4324,0,-1,5.17707,0,0,1400883,2224787,317051,20300,0.115086,LNS(PP;PP),instances/scen-random/random-32-32-20-random-24.scen
4.20599,0,-1,4540,4540,0,-1,4.20599,0,0,1046590,1860472,155462,20163,0.107521,LNS(PP;PP),instances/scen-random/random-32-32-20-random-25.scen
